Actor1Code,Actor1Name,Actor1Geo_ADM1Code,Actor2Code,Actor2Name,Actor2Geo_ADM1Code,ActionGeo_FullName,ActionGeo_ADM1Code,Year,SQLDATE
ALB,ALBANIAN,AL,MKD,MACEDONIAN,AL,Albania,AL,2001,20010301
RWA,RWANDA,RW,,,,Rwanda,RW,2001,20011031
MIL,PARAMILITARY,US,,,,United States,US,2001,20010712
CVL,VILLAGE,AL46,,,,"Varvare, Qarku Korce, Albania",AL46,2001,20010726
CVL,POPULATION,AL,ALB,ALBANIAN,AL,"Belgrade, Serbia (general),",RB00,2001,20010304
CAF,BANGUI,CT00,GOV,GOVERNMENT,CT18,"Yakoma, , Central African Republic",CT00,2001,20010605
GOV,GOVERNMENT,,,,,,,2001,20010321
AZE,AZERBAIJAN,AJ09,,,,"Baku, Baki*, Azerbaijan",AJ09,2001,20010702
HRV,CROATIA,HR,MOS,MUSLIM,HR,,RB,2001,20011003
RUS,RUSSIA,RB,,,,,RB,2001,20010216
GBR,UNITED KINGDOM,UK,,,,United Kingdom,UK,2001,20011016
GOV,MINIST,AL,ALB,ALBANIAN,MK00,"Skopje, Macedonia (general), Macedonia",MK00,2001,20010828
ARM,ARMENIA,AM,AZE,AZERBAIJAN,AJ00,Armenia,AM,2001,20011114
NGO,NON GOVERNMENTAL ORGANIZATION,IS,PSE,PALESTINIAN,IS,Israel,IS,2001,20010901
MED,JOURNALIST,AL,,,,Albania,AL,2001,20010305
HRV,CROAT,HR,HRVCVL,CROATIA,HR,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010507
ISR,ISRAELI,IS,ISRGOV,ISRAEL,IS,Israel,IS,2001,20010918
,,,srp,SERBS,BK,Bosnia-Herzegovina,BK,2001,20010705
ALBCVL,ALBANIAN,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010705
MKD,MACEDONIAN,AL,ALB,ALBANIAN,MK00,Albania,AL,2001,20010503
PTY,DEMOCRATIC PARTY,RB,,,,,RB,2001,20010321
BTN,BHUTANESE,BT,nep,NEPALI,NP00,"Jhapa, Nepal (general), Nepal",NP00,2001,20010522
CVL,VILLAGE,NL,HRV,CROAT,NL,Netherlands,NL,2001,20011130
UIS,THE INTERNATIONAL COMMUNITY,RB,ALBCVL,ALBANIAN,AL,Albania,AL,2001,20010318
ALB,ALBANIAN,AL,,,,Albania,AL,2001,20010709
MOS,MUSLIM,HR,HRVCVL,CROAT,HR,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010507
REF,REFUGEE,MK,,,,Macedonia,MK,2001,20010228
MIL,PARAMILITARY,AL47,,,,"Novo Selo, Qarku Kukes, Albania",AL47,2001,20010712
,,,MKDGOV,MACEDONIAN,MKE3,Albania,AL,2001,20010811
ALB,ALBANIA,AL,,,,"Kumanovo, Kumanovo, Macedonia",MKD7,2001,20010909
ALB,ALBANIAN,AL,MKD,FYROM,AL,Albania,AL,2001,20010717
IGOEURSCE,OSCE,AL,MKD,MACEDONIA,MKD4,"Gostivar, Gostivar, Macedonia",MKD4,2001,20010727
BTN,BHUTANESE,BT,nep,NEPALI,BT,Bhutan,BT,2001,20010522
srp,SERBS,RB,,,,,RB,2001,20010705
GOV,PRESIDENT,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010315
IRQ,KIRKUK,TU,,,,Turkey,TU,2001,20011028
GOV,PRESIDENT,BK01,,,,"Banja, Federation of Bosnia and Herzegovina, Bosnia-Herzegovina",BK01,2001,20010109
JUD,TRIBUNAL,BK02,GOV,SECURITY COUNCIL,BK02,"Foca, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010222
ALBUAF,ALBANIAN,AL,MKDCVL,MACEDONIAN,MK,Albania,AL,2001,20010726
srp,SERBS,RB,USA,UNITED STATES,US,Croatia,HR,2001,20010930
IRN,KURDISTAN,GM,,,,Germany,GM,2001,20010109
GOV,PRESIDENT,BK02,,,,,RB,2001,20010111
JUD,PROSECUTOR,BK02,srp,SERBS,BK02,"Omarska, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20011101
FRA,FRENCH,MK,FRAGOVMIL,FRANCE,MK,Macedonia,MK,2001,20010813
AFG,AFGHANISTAN,AF26,,,,"Taloqan, Takhar, Afghanistan",AF26,2001,20010316
ARM,ARMENIAN,AM,,,,Armenia,AM,2001,20010319
GOV,PRESIDENT,BK02,,,,"Banja Luka, Republika Srpska, Bosnia-Herzegovina",BK02,2001,20010111
BLR,MINSK,BO00,AZE,AZERBAIJAN,BO00,"Yerevan, Yerevan*, Armenia",AM11,2001,20010713
EGY,EGYPT,EG27,,,,"Rafah, Shamal Sina', Egypt",EG27,2001,20010415
UAF,TERRORIST ORGANIZATION,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010724
GRC,GREECE,AL,,,,United States,US,2001,20010615
srp,SERBS,HR,HRV,CROATIA,BK02,Croatia,HR,2001,20011114
GOV,GOVERNMENT,IS,ISR,ISRAEL,IS,Israel,IS,2001,20010910
SCGSRB,SERBIA,RI,,,,"Belgrade, Serbia (general),",RB00,2001,20010103
PSE,PALESTINIAN,US,,,,Israel,IS,2001,20010830
ALB,ALBANIAN,AL47,CVL,VILLAGE,AL47,"Novo Selo, Qarku Kukes, Albania",AL47,2001,20010712
ALBGOV,ALBANIA,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010314
ALB,ALBANIAN,AL,MKD,MACEDONIAN,MK00,"Ratae, Macedonia (general), Macedonia",MK00,2001,20010727
ALBCVL,ALBANIA,AL,,,,Albania,AL,2001,20010318
ALBREB,ALBANIA,AL50,,,,Macedonia,MK,2001,20010331
aar,AFAR,GR00,,,,United States,US,2001,20010615
MKD,SKOPLJE,MK00,ALB,ALBANIAN,AL,"Tanusevci, Macedonia (general), Macedonia",MK00,2001,20010227
CVL,POPULATION,RB00,ALB,ALBANIAN,AL,Albania,AL,2001,20010616
RUS,RUSSIA,RS48,ALB,ALBANIAN,RB00,"Belgrade, Serbia (general),",RB00,2001,20010617
MIL,MILITARY,AL,ALB,ALBANIAN,AL,Albania,AL,2001,20010414
MOS,MUSLIM,AF23,,,,"Mohammad Ali, Kandahar, Afghanistan",AF23,2001,20011104
MIL,COMMANDER,AL,UIS,THE INTERNATIONAL COMMUNITY,AL,Albania,AL,2001,20010414
MKD,MACEDONIA,MJ,ALB,ALBANIAN,RB00,"Belgrade, Serbia (general),",RB00,2001,20010227
SCGSRB,SERBIA,RI,,,,"Belgrade, Serbia (general),",RB00,2001,20011123
HRV,CROATIAN,HR,,,,Croatia,HR,2001,20010921
srp,SERBS,RB,,,,Israel,IS,2001,20011215
BLR,MINSK,BO00,AZE,AZERBAIJAN,AJ00,"Nagornyy Karabakh, Azerbaijan (general), Azerbaijan",AJ00,2001,20010713
MKD,MACEDONIA,NL,,,,Netherlands,NL,2001,20010627
